"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1951,"1","""Too Young""","Nat King Cole","44ZAlAAn0bAEzUJgZky04H","Nat King Cole",0.923
1951,"2","""Because of You""","Tony Bennett","1hVEHu6SemMvlYAP5MWkDj","Tony Bennett",0.94
1951,"3","""How High the Moon""","Les Paul & Mary Ford","0onHzLoj8yQbjbHtJzwjBx","Les Paul",0.678
1951,"4","""Come on-a My House""","Rosemary Clooney","","",NA
1951,"5","""Be My Love""","Mario Lanza","6l8tdrHjXjoM2U8mxfoXnL","Mario Lanza",0.974
1951,"6","""On Top of Old Smoky""","The Weavers","3Rd7lzhb3AtQPuQ4UZiSCc","The Weavers",0.855
1951,"7","""Cold, Cold Heart""","Tony Bennett","1nz7qrpaifFdBUp22qde4O","Tony Bennett",0.968
1951,"8","""If""","Perry Como","0VLsWxGXctGx9QtaHCpVEk","Perry Como",0.903
1951,"9","""The Loveliest Night of the Year""","Mario Lanza","4mSKeFHnAjwZIG4wQDCe2Z","Mario Lanza",0.942
1951,"10","""Tennessee Waltz""","Patti Page","5g5I4HsMQZ4shVP7Bg1ZEb","Patti Page",0.968
1951,"11","""Jezebel""","Frankie Laine","6SYQwsOxHW5uUYjUpOKtIC","Frankie Laine",0.835
1951,"12","""I Get Ideas""","Tony Martin","337MjXbvx4dDSgOYSfawii","Tony Martin",0.882
1951,"13","""Mockin' Bird Hill""","Les Paul & Mary Ford","62GWHE0tcoW9kJrscFn6k3","Les Paul",0.745
1951,"14","""Mockin' Bird Hill""","Patti Page","5yzlxi4VFO8UkxepsL0guW","Patti Page",0.75
1951,"15","""My Heart Cries for You""","Guy Mitchell & Mitch Miller",NA,NA,NA
1951,"16","""(It's No) Sin""","Eddy Howard","4cyPBIYP1z47ZIdT7fgDxu","Eddy Howard",0.961
1951,"17","""Sound Off""","Vaughn Monroe","7zYRrbdbYqogTo9b3sZnaz","Vaughn Monroe",0.743
1951,"18","""Sweet Violets""","Dinah Shore","05ifAxjJZYzDwC8iyQWChD","Various Artists",0.837
1951,"19","""The World Is Waiting for the Sunrise""","Les Paul & Mary Ford","36JEJ923q81GkE88VP5WAD","Les Paul",0.56
1951,"20","""My Truly, Truly Fair""","Guy Mitchell & Mitch Miller","5UKcLXMxnK07HqmnHCi1C7","Guy Mitchell",0.8
1951,"21","""(It's No) Sin""","The Four Aces","1dIYh7nTF0ZJc9vP3QYXUf","The Four Aces",0.92
1951,"22","""Aba Daba Honeymoon""","Debbie Reynolds & Carleton Carpenter","4YSI7uS8SR0jbwVqsfijv5","Various Artists",0.973
1951,"23","""Rose, Rose, I Love You""","Frankie Laine","5hQ3Z5zYqHKZBO0pPb16eI","Frankie Laine",0.801
1951,"24","""Down Yonder""","Del Wood","3UYeTr8hsTPi5rfKd7zUsm","Del Wood",0.734
1951,"25","""I Apologize""","Billy Eckstine","6eSvqypg85X4qOZWuFzfEU","Billy Eckstine",0.969
1951,"26","""Would I Love You (Love You, Love You)""","Patti Page","2L09VIBngrGdYr2Z4NWrcZ","Patti Page",0.899
1951,"27","""You're Just in Love""","Perry Como & The Fontane Sisters","0jVYsBfsxGA7zPurjqnlH8","Perry Como",0.924
1951,"28","""Undecided""","Ames Brothers with The Les Brown Orchestra",NA,NA,NA
1951,"29","""The Thing""","Phil Harris","3JbHocrY8ZZrk9l9t1mBls","Various Artists",0.838
1951,"30","""Because of You""","Les Baxter","4WToccEJeXgFNyfNPuSYCS","Les Baxter",0.865
1952,"1","""Blue Tango""","Leroy Anderson","707KmYFPnxkPLpZL1BVhUg","Leroy Anderson",0.851
1952,"2","""Wheel of Fortune""","Kay Starr","2gCQe48O4GMJz6oFBqnN9e","Kay Starr",0.897
1952,"3","""Cry""","Johnnie Ray & The Four Lads","0Ig4dmbyb1aBynsyyyjwEp","Johnnie Ray",0.9
1952,"4","""You Belong to Me""","Jo Stafford","4ifZT2TGYtOUIV7IW9NFBB","Jo Stafford",0.977
1952,"5","""Auf Wiederseh'n Sweetheart""","Vera Lynn","3rIhZKroSQQjNcgGQsdaJF","Vera Lynn",0.846
1952,"6","""Half as Much""","Rosemary Clooney","5vIe5BmOlPXarqRxJh9FNE","Rosemary Clooney",0.944
1952,"7","""Wish You Were Here""","Eddie Fisher","1N23NEOz7JZrgziAWmZf6V","Various Artists",0.728
1952,"8","""I Went to Your Wedding""","Patti Page","1pfNFUzZIhwPx1m9eqOlfX","Patti Page",0.814
1952,"9","""Here in My Heart""","Al Martino","0AwZRPEUFyZxpVnCIAi5ZF","Al Martino",0.645
1952,"10","""Delicado""","Percy Faith","6gNkjeqj4lZMSJ1ejV3qGI","Percy Faith & His Orchestra",0.347
1952,"11","""Kiss of Fire""","Georgia Gibbs","46SZJUs1Qnutjk3QlNcnKY","Georgia Gibbs",0.936
1952,"12","""Anytime""","Eddie Fisher","3j1o0rONh8IG7wOl4mdKaN","Eddie Fisher",0.971
1952,"13","""Tell Me Why""","The Four Aces","5DipLI9pNQu8Jwf26XFZQt","The Four Aces",0.865
1952,"14","""Blacksmith Blues""","Ella Mae Morse","33FiJdNiWACHYd5yk0en35","Ella Mae Morse",0.498
1952,"15","""Jambalaya (On the Bayou)""","Jo Stafford",NA,NA,NA
1952,"16","""Botch-a-Me (Ba-Ba-Baciami Piccina)""","Rosemary Clooney",NA,NA,NA
1952,"17","""A Guy Is a Guy""","Doris Day","1lZSR5NKeNGuCPSTNL7BhW","Doris Day",0.901
1952,"18","""The Little White Cloud That Cried""","Johnnie Ray","3Z0PGLxK7iNftaG0qlhW4V","Johnnie Ray",0.968
1952,"19","""High Noon""","Frankie Laine","1yGBGPgpGi5ua0HbHcvesQ","Frankie Laine",0.935
1952,"20","""I'm Yours""","Eddie Fisher","6eavbb9aFZil4dHGGZ8dGk","Eddie Fisher",0.809
1952,"21","""The Glow-Worm""","Mills Brothers",NA,NA,NA
1952,"22","""It's in the Book""","Johnny Standley",NA,NA,NA
1952,"23","""Slow Poke""","Pee Wee King","0h45YvcNfRRpf5D34vVgOr","Various Artists",0.732
1952,"24","""Walkin' My Baby Back Home""","Johnnie Ray","6JUygdnYt24lSMdXqlfSCt","Johnnie Ray",0.949
1952,"25","""Meet Mister Callaghan""","Les Paul","6RuB6RdClJNtEt8n6QBGYd","Les Paul",0.815
1952,"26","""I'm Yours""","Don Cornell","4RDNSkEqoD7gY7JRJ60y3o","Don Cornell",0.955
1952,"27","""I'll Walk Alone""","Don Cornell","5IMHJFmezONtZgtWOgmxUj","Don Cornell",0.789
1952,"28","""Tell Me Why""","Eddie Fisher","1WKcp1DTFJMCPbSRetZMvO","Eddie Fisher",0.826
1952,"29","""Trying""","The Hilltoppers","0FrkBNmDlsJerS6CEmydXd","Four Aces & The Hilltoppers",0.93
1952,"30","""Please Mr. Sun""","Johnnie Ray & The Four Lads",NA,NA,NA
1953,"1","""The Song from Moulin Rouge""","Percy Faith","1forE8vXOCGqYqtWaCTI80","Percy Faith & His Orchestra",0.964
1953,"2","""Vaya con Dios""","Les Paul & Mary Ford","3qhxI5f7klTVfK0iWYmKdM","Les Paul",0.924
